OTU	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D078	SA_D062	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D058	SA_D067	SA_D098	SA_D097	SA_D066	SA_D072	SA_D065	SA_D064	SA_D090	SA_D089	SA_D091	SA_D073	SA_D079	SA_D074	SA_D084	SA_D077	SA_D096	SA_D069	SA_D083	SA_D056	SA_D054	SA_D095	SA_D081	SA_D086	SA_D100	SA_D088	SA_D092	SA_D093	SA_D055	SA_D099	SA_D082	SA_D094	SA_D087
ASV_123	12032	0	10339	0	0	18153	100870	6969	0	22745	0	0	0	0	0	184921	88871	0	0	35609	0	38336	30265	8705	4481	14166	0	11496	0	0	8816	0	10265	0	35124	63894	0	28957	0	0	0	15101	20169	54895	2348	35479	34478	0
ASV_227	0	0	0	0	9320	0	35793	0	0	3249	0	0	1897	181558	0	14121	14444	0	0	24060	0	14621	0	0	0	4798	5887	0	2493	1005	0	1940	588	0	4901	633	1904	0	56045	0	0	3094	11986	4587	0	0	11586	0
ASV_161	0	0	9789	0	0	0	0	61904	10443	4097	0	0	0	0	0	0	0	0	0	180165	2765	0	0	78720	5860	0	0	3240	1930	0	45967	0	915	0	0	1265	0	2815	0	1032	2946	0	4629	0	0	4704	12640	989
ASV_32	14868	13804	171194	471	12884	26867	36335	42536	31163	54813	773	10624	3622	11940	331	76546	138488	1508	626	131851	971	110730	3363	174850	129205	102171	15624	135984	6434	8682	50532	790	8271	8944	14629	37894	1904	47113	4255	7398	66738	75944	24137	16483	4773	46913	30581	56622
ASV_67	16247	47608	4619	24120	0	13070	86228	12489	44756	3956	11443	30442	31220	103948	8727	96159	22052	15481	53339	32145	6237	138903	61971	21951	10226	12719	14605	3549	10937	6601	25030	36573	36942	9092	13589	32263	41214	22867	19440	171703	8385	14224	12730	24796	46403	24870	20996	7986
ASV_105	0	54340	7259	0	0	88588	8677	5249	41275	0	6804	0	0	42843	5025	4707	0	5227	6994	7699	0	33522	0	34062	51475	14623	1359	6404	0	0	8107	9628	1831	0	0	168023	7504	12123	36019	0	0	2863	17441	0	0	8607	13201	0
ASV_30	0	3317	8689	0	167767	0	0	10498	3813	0	74535	88670	107285	42141	46545	0	0	3016	1253	0	35362	0	0	4542	5630	62453	160767	10879	89830	106910	11885	7257	0	101102	0	0	6160	460	23695	70195	40337	36575	661	0	32787	801	281	28140
ASV_43	7280	12292	4729	0	0	0	58570	9050	12101	3673	55979	0	20008	5619	71140	166541	44876	113192	136635	23675	5178	130522	673	94868	122943	609	0	2700	0	21956	13066	40741	30469	38346	19827	2910	42334	88079	1687	860	0	139	70013	20496	0	40883	59265	837
ASV_73	16554	56388	0	6218	0	0	11931	7783	102275	16246	150307	0	35704	52676	162643	16139	50941	22116	20981	18286	8708	24963	17294	16526	13673	0	48909	1389	20507	17507	13774	10850	50607	28660	27475	11134	11647	4367	23254	0	0	0	3306	35689	0	4354	4424	0
ASV_489	3525	0	11549	0	0	0	0	6969	0	157518	0	0	0	0	0	6276	0	0	0	13666	14945	535	3843	0	689	0	3057	5169	11259	0	0	0	5362	0	8837	0	0	0	0	0	0	0	0	0	0	0	0	0
